Entry Time,Exit Time,Entry Price,Exit Price,PnL,Return [%],Duration,Status
2023-11-27 13:00:00+00:00,2023-11-28 16:00:00+00:00,36990.08579999999,37494.4434,256.0295659629265,1.24,1 days 03:00:00,Closed
2023-12-08 11:00:00+00:00,2023-12-08 21:00:00+00:00,43371.664995,44341.808005,441.2652275271739,2.12,0 days 10:00:00,Closed
2023-12-13 15:00:00+00:00,2023-12-13 16:00:00+00:00,41452.716,41918.200415,213.47989805782868,1.0,0 days 01:00:00,Closed
2023-12-16 13:00:00+00:00,2023-12-16 14:00:00+00:00,42440.16948,42374.90195,-58.88083727032003,-0.27,0 days 01:00:00,Closed
2023-12-17 17:00:00+00:00,2023-12-17 23:00:00+00:00,42132.27561,41696.991075,-247.26661750965323,-1.15,0 days 06:00:00,Closed
2023-12-18 06:00:00+00:00,2023-12-18 21:00:00+00:00,41024.692095,41950.104455,452.6478273473752,2.13,0 days 15:00:00,Closed
2023-12-20 06:00:00+00:00,2023-12-20 08:00:00+00:00,42730.524585,42902.76788500001,61.264551855295366,0.28,0 days 02:00:00,Closed
2023-12-25 12:00:00+00:00,2023-12-25 13:00:00+00:00,43192.695555,43626.205985,191.80989154502996,0.88,0 days 01:00:00,Closed
2023-12-29 14:00:00+00:00,2023-12-29 15:00:00+00:00,42845.71215,43000.36906,52.75378482529681,0.24,0 days 01:00:00,Closed
2023-12-29 22:00:00+00:00,2023-12-30 23:00:00+00:00,41957.198115,42111.663635000004,54.45859711987603,0.25,1 days 01:00:00,Closed
2024-01-04 15:00:00+00:00,2024-01-04 16:00:00+00:00,43697.908035,44029.07445,140.35406079232328,0.64,0 days 01:00:00,Closed
2024-01-08 06:00:00+00:00,2024-01-08 12:00:00+00:00,43663.560869999994,44613.682,455.3226775806645,2.05,0 days 06:00:00,Closed
2024-01-10 23:00:00+00:00,2024-01-11 15:00:00+00:00,46926.141345,48546.924395,753.4971942143944,3.33,0 days 16:00:00,Closed
2024-01-15 13:00:00+00:00,2024-01-15 14:00:00+00:00,42685.121895,42831.123725000005,51.83960495511991,0.22,0 days 01:00:00,Closed
2024-01-19 20:00:00+00:00,2024-01-20 07:00:00+00:00,41835.177135,41651.18399,-131.04432926548404,-0.56,0 days 11:00:00,Closed
2024-01-23 23:00:00+00:00,2024-01-24 01:00:00+00:00,39488.444355,40159.440235,367.54736847138435,1.58,0 days 02:00:00,Closed
2024-01-27 08:00:00+00:00,2024-01-27 21:00:00+00:00,41731.005075,42038.91003000001,146.05179570535185,0.62,0 days 13:00:00,Closed
2024-01-29 02:00:00+00:00,2024-01-29 16:00:00+00:00,42181.290105,42620.429125,219.08839767725553,0.92,0 days 14:00:00,Closed
2024-01-31 15:00:00+00:00,2024-01-31 20:00:00+00:00,42903.52104,43312.962685,200.2792330718675,0.83,0 days 05:00:00,Closed
2024-02-01 03:00:00+00:00,2024-02-01 18:00:00+00:00,42183.631275,42902.528005,383.46981579573406,1.58,0 days 15:00:00,Closed
2024-02-04 11:00:00+00:00,2024-02-04 18:00:00+00:00,42965.471999999994,42877.990280000005,-79.59289454554701,-0.32,0 days 07:00:00,Closed
2024-02-05 01:00:00+00:00,2024-02-05 10:00:00+00:00,42382.140479999995,43016.071205,337.1839646658159,1.37,0 days 09:00:00,Closed
2024-02-10 12:00:00+00:00,2024-02-10 22:00:00+00:00,47205.601005,47917.669180000004,344.9701586159265,1.39,0 days 10:00:00,Closed
2024-02-13 21:00:00+00:00,2024-02-14 07:00:00+00:00,49424.0997,49613.011085000006,66.04091843905918,0.26,0 days 10:00:00,Closed
2024-02-17 21:00:00+00:00,2024-02-19 03:00:00+00:00,51539.767005,52122.5257,255.260553027827,1.01,1 days 06:00:00,Closed
2024-02-20 11:00:00+00:00,2024-02-20 14:00:00+00:00,52146.06,52813.71993,296.0214161181418,1.16,0 days 03:00:00,Closed
2024-02-21 23:00:00+00:00,2024-02-23 07:00:00+00:00,51536.865555,51275.44945,-161.89888868764558,-0.63,1 days 08:00:00,Closed
2024-02-23 14:00:00+00:00,2024-02-24 16:00:00+00:00,51083.73910499999,51073.800325000004,-35.7841696324453,-0.14,1 days 02:00:00,Closed
2024-02-26 15:00:00+00:00,2024-02-26 16:00:00+00:00,51712.873515,52815.908835,515.528098826133,2.01,0 days 01:00:00,Closed
2024-02-29 20:00:00+00:00,2024-03-03 17:00:00+00:00,61630.78999499999,62813.717430000004,470.0824327979808,1.8,2 days 21:00:00,Closed
2024-03-06 05:00:00+00:00,2024-03-06 10:00:00+00:00,64640.273985,66087.089925,563.3376754567488,2.12,0 days 05:00:00,Closed
2024-03-09 12:00:00+00:00,2024-03-10 05:00:00+00:00,68334.15,69369.11809,378.7169392144417,1.39,0 days 17:00:00,Closed
2024-03-11 07:00:00+00:00,2024-03-11 13:00:00+00:00,69354.44989499998,71932.27587,990.4265484289331,3.59,0 days 06:00:00,Closed
2024-03-13 06:00:00+00:00,2024-03-13 07:00:00+00:00,72188.466195,72671.63600500001,156.67467963600893,0.55,0 days 01:00:00,Closed
2024-03-15 23:00:00+00:00,2024-03-16 18:00:00+00:00,69138.85215,67242.212075,-821.251616201351,-2.86,0 days 19:00:00,Closed
2024-03-17 01:00:00+00:00,2024-03-17 21:00:00+00:00,65253.160275,68234.915475,1239.6903323576657,4.45,0 days 20:00:00,Closed
2024-03-20 11:00:00+00:00,2024-03-20 19:00:00+00:00,63072.61054499999,65382.222535,1030.6473922425664,3.54,0 days 08:00:00,Closed
